,0
Sex_enc,0.3362672798791566
Fare,0.1489726398896261
Title_enc,0.138353298900703
Age,0.11097899946769091
Pclass,0.0946819928245447
HasCabin,0.06917512181317358
FamilySize,0.06891268158914764
Embarked_enc,0.022145179024858064
IsAlone,0.01051280661109932
